icon,name,addin,order,tooltip,url
autoLink.png,autoLink,workFlow.addin,8,"Extend Revit updating behavior to view references in schedules, tags and text so these stay in sync when changes occur",https://hub.hok.com/buildingsmart/educationwiki/revolution-design-autolink.aspx
RTVxporterPro.png,RTV Xporter Pro,RTVTools_2017.addin,5,"A powerful tool for batch exporting, printing and revision control",https://www.rtvtools.com/rtv-xporter-pro/
CTC_BIMmanS.png,CTC BIM Manager Suite,CTC-BIM-Manager-Suite.addin,6,A collection of powerful tools for BIM Managers and Coordinators,https://hub.hok.com/buildingsmart/educationwiki/revit-express-tools.aspx
CTC_BIMbatchS.png,CTC BIM Batch Suite,CTC-BIM-Batch-Suite.addin,7,"A collection of powerful batching tools for exporting, family loading, upgrading and plotting",https://hub.hok.com/buildingsmart/educationwiki/revit-express-tools.aspx
eTransmit.png,eTransmit,Autodesk.eTransmitApplication.addin,2,Prepare models to be archived or transmitted to outside team members,https://hub.hok.com/buildingsmart/educationwiki/revit-addin-eTransmit.aspx
IdeateExplorer.png,Ideate Explorer,"IdeateExplorer.addin, IdeateSoftwareISW.addin",1,"Find anything quickly with this tool, check for correct workset assignment, and more!",https://www.youtube.com/watch?v=KP7XFv_VL6M&index=2&list=PLrPZHp9xQEYopIAglixqSWwBv3cQdTi3W
Dynamo.png,Dynamo,Dynamo.addin,9,A powerful visual scripting tool for computational design and daily task automation,http://dynamobim.org/
BCFmanager.png,BCF Manager,BCF_Manager.addin,10,Communicate issues with all team members such as collisions between trades via the open-source BCF schema,http://www.bimcollab.com/en/BCF-Manager/BCF-Manager
Formit360.png,FormIt 360 Converter,FormItConverter.addin,28,Convert FormIt files to the Revit file format,http://autode.sk/2dD2l3I
Collab4Revit.png,Collaboration for Revit,"Autodesk.Collaborate.addin, Communicator.addin, ExportViewSelectorApp.addin",11,Set up a project to be workshared with team members outside of HOK (subscription required - project expense),http://autode.sk/2ey71Y0
ModelReview.png,Model Review,Autodesk.ModelReview.addin,19,Validate the accuracy and consistency of your projects by running various checks,http://autode.sk/2eKAcE3
BIM360Glue.png,BIM 360 Glue,BIM360GlueRevitAddin.addin,20,Clash detection in the cloud (subscription required - project expense or contractor provided),http://www.autodesk.com/products/bim-360-glue/overview
Insight360.png,Insight 360,Insight360.addin,16,Energy performance analysis via Autodesk Cloud Services (use your HOK Autodesk Account),https://insight360.autodesk.com/oneenergy
dbLink.png,Revit DB Link,Autodesk.RevitDBLink.addin,29,"Export Revit project data to a database, make changes and re-import",http://autode.sk/2dPFkcm
SteelConnections.png,Steel Connections,RvtSteelConnectionsUI.addin,25,View detailed structural connector geometry and modify additional parameters,http://autode.sk/2dg3JFH
COBieExt.png,COBie Extension,COBie Extension.addin,17,Capture COBie data and export to a COBie compliant spreadsheet,http://www.biminteroperabilitytools.com/cobieextension/index.html
FabExtension.png,Fabrication Extension,MEPFabricationOpenJob.addin,27,Export a fabrication layout from Revit to a fabrication job (MEP),http://autode.sk/2eKCSBt
SiteDesigner.png,Site Designer,Autodesk.SiteDesignerExtension.addin,21,Site planning tools to shape the terrain for building sites within Revit,http://autode.sk/2eh46BB
Coins.png,COINS Auto-Section Box,CoinsSectionBoxApp2017.addin,14,Create a 3D view with a section box around selected elements (note that a similar tool is now available ootb),http://revitlink.blogspot.com/2016/01/revit-selection-box-vs-coins-auto.html
IsolateWarnings.png,Isolate Warnings,ARCHISOFT_warnings.addin,13,Maintain and audit your model by creating 3D views that isolate elements with associated warnings,https://apps.autodesk.com/RVT/en/Detail/Index?id=5064956227128897660&appLang=en&os=Win32_64
StructWebStiff.png,Web Stiffener,AddStiffenerApp.addin,23,Quickly add web stiffeners on one or more W-beams,https://apps.autodesk.com/RVT/en/Detail/Index?id=3707897859546303803&appLang=en&os=Win32_64
Align.png,Align,AlignTag.addin,18,"Align, distribute or organize selected tags and text along the specified axis",https://apps.autodesk.com/RVT/en/Detail/Index?id=2903508825431715905&appLang=en&os=Win32_64
TransferSingle.png,TransferSingle,TransferSingle2017.addin,3,Use this tool to Transfer Project Standards on a single item instead of an entire category,https://apps.autodesk.com/RVT/en/Detail/Index?id=1090472181312958476&appLang=en&os=Win64
ETABSexport.png,Export to ETABS,NM.Revit.addin,26,Export a structural Revit model to Etabs for analysis and member sizing,http://www.nassermarafi.com/
ScopeBoxSync.png,Scope Box Synchronizer,ScopeBoxSynchronizer.addin,4,Keep scope boxes in linked models synchronized with those in the host model,https://apps.autodesk.com/RVT/en/Detail/Index?id=6897465823377340538&appLang=en&os=Win64
StructCope.png,Structural Cope Tool,SSFT.StrucCope.addin,22,Automatically cope selected beams/columns with any number of intersecting members,https://apps.autodesk.com/RVT/en/Detail/Index?id=662680847725051942&appLang=en&os=Win32_64
StructColSplit.png,Column Splitter,Ssft.Column-Splitter.addin,24,"Split columns by point (now available ootb), by levels or by reference planes",https://apps.autodesk.com/RVT/en/Detail/Index?id=5528791458580677035&appLang=en&os=Win32_64
Revizto.png,Revizto,revizto_v4_2014.addin,15,"Export your models for cloud-based collaboration: markups, issue tracking, visualization and more",https://hub.hok.com/workspace/designSMART/Documents/Revizto%20User%20Guide.pdf
VRay.png,V-Ray for Revit,VRay4Revit2017.addin,12,Render using V-Ray for Revit and take advantage of the Swarm efficiency (distributed rendering),https://docs.chaosgroup.com/display/VRAYREVIT/V-Ray+for+Revit+QuickStart+-+Intro
Lumion.png,Lumion Exporter,RevitToLumionBridge.addin,30,Export to Lumion,https://www.youtube.com/watch?v=3Lsn-QssVkY
