icon,name,addin,order,tooltip,url,dropdownOptionsFlag
Ideate.png,Ideate Tools,IdeateSoftwareISW.addin,1,"The entire suite of Ideate tools: Apps, BIMLink, Explorer, Sticky & StyleManager",https://ideatesoftware.com,1
eTransmit.png,eTransmit,Autodesk.eTransmitApplication.addin,2,Prepare models to be archived or transmitted to outside team members,https://hub.hok.com/designtech/educationwiki/revit-addin-eTransmit.aspx,0
TransferSingle.png,TransferSingle,TransferSingle2019.addin,3,Use this tool to Transfer Project Standards on a single item instead of an entire category,https://apps.autodesk.com/RVT/en/Detail/Index?id=1090472181312958476&appLang=en&os=Win64,0
ScopeBoxSync.png,Scope Box Synchronizer,ScopeBoxSynchronizer.addin,4,Keep scope boxes in linked models synchronized with those in the host model,https://apps.autodesk.com/RVT/en/Detail/Index?id=6897465823377340538&appLang=en&os=Win64,0
RTVxporterPro.png,RTV Xporter Pro,RTVTools_2019.addin,5,"A powerful tool for batch exporting, printing and revision control",https://www.rtvtools.com/rtv-xporter-pro/,0
CTC_BIMmanS.png,CTC BIM Manager Suite,CTC-BIM-Manager-Suite.addin,6,A collection of powerful tools for BIM Managers and Coordinators,https://hub.hok.com/designtech/educationwiki/revit-express-tools.aspx,2
CTC_BIMprojS.png,CTC BIM Project Suite,CTC-BIM-Project-Suite.addin,7,A collection of powerful tools for BIM Managers and Coordinators,https://hub.hok.com/designtech/educationwiki/revit-express-tools.aspx,2
CTC_BIMbatchS.png,CTC BIM Batch Suite,CTC-BIM-Batch-Suite.addin,8,"A collection of powerful batching tools for exporting, family loading, upgrading and plotting",https://hub.hok.com/designtech/educationwiki/revit-express-tools.aspx,2
autoLink.png,autoLink,workFlow.addin,9,"Extend Revit updating behavior to view references in schedules, tags and text so these stay in sync when changes occur",https://hub.hok.com/designtech/educationwiki/revolution-design-autolink.aspx,0
Dynamo.png,Dynamo,Dynamo.addin,10,A powerful visual scripting tool for computational design and daily task automation,http://dynamobim.org/,0
BCFmanager.png,BCF Manager,BCF_Manager.addin,11,Communicate issues with all team members such as collisions between trades via the open-source BCF schema,http://www.bimcollab.com/en/BCF-Manager/BCF-Manager,1
Clarity.png,Clarity,IMAGINiT.ClarityClient.addin,12,For HOK projects hosted on rs.hok.com that require external collaboration,http://s3.amazonaws.com/IMAGINiTSoftware/Documentation/Clarity/2018.1/index.htm#t=User_Guide%2FClarity_Revit_Add-in.htm,0
Collab4Revit.png,BIM 360 Design (C4R),"Autodesk.Collaborate.addin, ExportViewSelectorApp.addin",13,Set up a project to be workshared with team members outside of HOK (subscription required - project expense),http://autode.sk/2ey71Y0,0
VRay.png,V-Ray for Revit,VRay4Revit2019.addin,14,Render using V-Ray for Revit and take advantage of the Swarm efficiency (distributed rendering),https://docs.chaosgroup.com/display/VRAYREVIT/V-Ray+for+Revit+QuickStart+-+Intro,0
IsolateWarnings.png,Isolate Warnings,ARCHISOFT_warnings.addin,15,Maintain and audit your model by creating 3D views that isolate elements with associated warnings,https://apps.autodesk.com/RVT/en/Detail/Index?id=5064956227128897660&appLang=en&os=Win32_64,0
Coins.png,COINS Auto-Section Box,CoinsSectionBoxApp2019.addin,16,Create a 3D view with a section box around selected elements (note that a similar tool is now available ootb),http://revitlink.blogspot.com/2016/01/revit-selection-box-vs-coins-auto.html,0
Revizto.png,Revizto,revizto_v4_2014.addin,17,"Export your models for cloud-based collaboration: markups, issue tracking, visualization and more",https://hub.hok.com/workspace/designSMART/Documents/Revizto%20User%20Guide.pdf,0
ColorSplasher.png,Color Splasher,ColorSplasher.addin,18,"Filter, select & color elements based on parameter values to visualise and audit model data",http://bimone.com/UserGuide/Color%20Splasher%20-%20User%20Guide.pdf,0
Insight360.png,Insight,Insight.addin,19,Energy performance analysis via Autodesk Cloud Services (use your HOK Autodesk Account),https://insight360.autodesk.com/oneenergy,0
COBieExt.png,COBie Extension,COBie Extension.addin,20,Capture COBie data and export to a COBie compliant spreadsheet,http://www.biminteroperabilitytools.com/cobieextension/index.html,0
Align.png,Align,AlignTag.addin,21,"Align, distribute or organize selected tags and text along the specified axis",https://apps.autodesk.com/RVT/en/Detail/Index?id=2903508825431715905&appLang=en&os=Win32_64,0
ModelReview.png,Model Review,Autodesk.ModelReview.addin,22,Validate the accuracy and consistency of your projects by running various checks,http://autode.sk/2eKAcE3,0
BIM360Glue.png,BIM 360 Glue,BIM360GlueRevitAddin.addin,23,Clash detection in the cloud (subscription required - project expense or contractor provided),http://www.autodesk.com/products/bim-360-glue/overview,0
SiteDesigner.png,Site Designer,Autodesk.SiteDesignerExtension.addinZZZ,24,Site planning tools to shape the terrain for building sites within Revit,http://autode.sk/2eh46BB,0
pyRevit.png,pyRevit,pyRevit.addin,25,A set of valuable open-source tools written in Python (currently distributing only Make Pattern for fill/hatch patterns),https://www.youtube.com/watch?v=H7b8hjHbauE,0
StructCope.png,Structural Cope Tool,SSFT.StrucCope.addin,26,Automatically cope selected beams/columns with any number of intersecting members,https://apps.autodesk.com/RVT/en/Detail/Index?id=662680847725051942&appLang=en&os=Win32_64,0
StructWebStiff.png,Web Stiffener,AddStiffenerApp.addin,27,Quickly add web stiffeners on one or more W-beams,https://apps.autodesk.com/RVT/en/Detail/Index?id=3707897859546303803&appLang=en&os=Win32_64,0
StructColSplit.png,Column Splitter,Ssft.Column-Splitter.addin,28,"Split columns by point (now available ootb), by levels or by reference planes",https://apps.autodesk.com/RVT/en/Detail/Index?id=5528791458580677035&appLang=en&os=Win32_64,0
SteelConnections.png,Steel Connections,RvtSteelConnectionsUI.addin,29,View detailed structural connector geometry and modify additional parameters,http://autode.sk/2dg3JFH,0
ETABSexport.png,Export to ETABS,NM.Revit.addin,30,Export a structural Revit model to Etabs for analysis and member sizing,http://www.nassermarafi.com/,0
FabExtension.png,Fabrication Extension,RevitFabricationExtension.addin,31,Export a fabrication layout from Revit to a fabrication job (MEP),http://autode.sk/2eKCSBt,0
Formit360.png,FormIt 360 Converter,FormItConverter.addinZZZ,32,Convert FormIt files to the Revit file format,http://autode.sk/2dD2l3I,0
dbLink.png,Revit DB Link,Autodesk.RevitDBLink.addinZZZ,33,"Export Revit project data to a database, make changes and re-import",http://autode.sk/2dPFkcm,0
Lumion.png,Lumion Exporter,RevitToLumionBridge.addin,34,Export to Lumion,https://www.youtube.com/watch?v=3Lsn-QssVkY,0
NBS.png,NBS Plugin,NBS2018.addin,35,Coordinate element data with the NBS Specification & access the National BIM Library,https://www.nationalbimlibrary.com/nbs-plug-in-for-autodesk-revit,0
