Sheet_Id,Sheet_Number,Sheet_Name,Sheet_VolumeNumber,Sheet_Discipline_Id,Sheet_DrawingType,Sheet_SortedDiscipline,Sheet_LinkedProject_Id
0f37bbbf-93d8-48a4-8715-d84f06b712e1,A101,COMPOSITE FLOOR PLAN - LEVEL 1,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,COMPOSITE PLANS,06.1 ARCHITECTURAL COMPOSITE PLANS,00000000-0000-0000-0000-000000000000
837997f1-4897-4fd9-afeb-312ea43dfcfd,A201,FLOOR PLAN - LEVEL 1,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,FLOOR PLANS,06.2 ARCHITECTURAL FLOOR PLANS,00000000-0000-0000-0000-000000000000
a6ada12c-9ffa-4f2b-af97-ed63e81765c9,A202,FLOOR PLAN - LEVELS 2-11,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,FLOOR PLANS,06.2 ARCHITECTURAL FLOOR PLANS,00000000-0000-0000-0000-000000000000
a2b17eb5-71dc-4e38-9b4e-fb8edf60848b,A211,PENTHOUSE / ROOF PLAN,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,FLOOR PLANS,06.2 ARCHITECTURAL FLOOR PLANS,00000000-0000-0000-0000-000000000000
c7bf0f4a-4f05-485a-af40-06a79308e074,A212,UPPER LEVEL ROOF PLAN,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,FLOOR PLANS,06.2 ARCHITECTURAL FLOOR PLANS,00000000-0000-0000-0000-000000000000
ded63eea-3aa7-456f-bfff-627fc5dfa3ed,A301,RCP - LEVEL 1,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,CEILING PLANS,06.3 ARCHITECTURAL CEILING PLANS,00000000-0000-0000-0000-000000000000
514733d9-579c-40f5-8661-1ab3efd2b86b,A401,ENLARGED PLAN - LEVEL 1 LOBBY,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
b9de47b7-9929-4937-a376-d022bb6aab2f,A402,ENLARGED PLAN - LEVELS 2-11 CORE,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
ce05ff18-c2c9-4b4d-8323-8de93434ba21,A411,ENLARGED PLAN - MECHANICAL PENTHOUSE,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
9ff17401-bc37-4b84-aa2a-bc4396247f3c,A421,FLOOR PATTERN PLAN - LEVEL 1 LOBBY,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
6ba02476-0daf-47a8-9706-0584afe54ba1,A431,ENLARGED RCP - LEVEL 1 LOBBY,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
06167432-5c20-4f57-a742-9eeb4dbe7819,A451,ENLARGED STAIR PLANS,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
884098c6-df8c-4fe3-8c7a-bf619c3cd6e1,A461,ENLARGED ELEVATOR PLANS & ELEVATIONS,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
dddfc0fe-6773-4743-afad-20fd1c6fa590,A491,ENLARGED SERVICE DOCK PLAN,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
05629eac-9516-4032-9b45-ea04cc75e486,A492,ENLARGED PARKING AREA PLAN,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,ENLARGED VIEWS,06.4 ARCHITECTURAL ENLARGED VIEWS,00000000-0000-0000-0000-000000000000
674c6589-a0fe-40b1-a2d8-2f0504bee76d,A501,EXT ELEVATIONS - NORTH & EAST,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,EXTERIOR ELEVATIONS,06.5 ARCHITECTURAL EXTERIOR ELEVATIONS,00000000-0000-0000-0000-000000000000
5d8f5360-1ef7-4238-9ed5-667110d40782,A502,EXT ELEVATIONS - SOUTH & WEST,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,EXTERIOR ELEVATIONS,06.5 ARCHITECTURAL EXTERIOR ELEVATIONS,00000000-0000-0000-0000-000000000000
6b4b974a-59f9-4f77-9409-42b699f80386,A511,NORTH ELEVATION - DETAIL VIEW,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,EXTERIOR ELEVATIONS,06.5 ARCHITECTURAL EXTERIOR ELEVATIONS,00000000-0000-0000-0000-000000000000
ce6e4b47-6b63-4b5f-b70e-75b333b34384,A521,CANOPY ELEVATION & ROOF PLAN - DETAIL VIEW,Volume 2,02aceb80-5ae9-4c03-8b69-36a39425e4fc,EXTERIOR ELEVATIONS,06.5 ARCHITECTURAL EXTERIOR ELEVATIONS,00000000-0000-0000-0000-000000000000
